,Country Name,Country Code,Year,acce_fuel_tech,acce_electr,fore_area,gdp_grow,life_exp,mortal_rate,pop_65,parliment_women_seat,rate_labor,unemp_rate,log_pop_denst
155,Germany,DEU,2020,100.0,100.0,32.6836109680005,-4.56961671737398,80.9414634146342,0.0037,21.6874493682811,31.1706629055007,85.4192973687762,3.80999994277954,2.376620988851177
156,Ghana,GHA,2019,22.4,83.5,35.0640766458645,6.5077747939152,64.074,0.0464,3.09732217813116,13.0909090909091,89.6812728500574,4.31599998474121,2.126070874390915
157,Ghana,GHA,2020,22.2,85.8735504150391,35.095851278896,0.414443457624131,64.347,0.044700000000000004,3.14034977057208,13.0909090909091,89.6793226772109,4.65100002288818,2.135324662576327
158,Greece,GRC,2019,100.0,100.0,30.2699767261443,1.80359525615141,81.6390243902439,0.004200000000000001,21.9414701261427,20.6666666666667,73.9591489322727,17.3099994659424,1.9200059541208387
159,Greece,GRC,2020,100.0,100.0,30.2699767261443,-9.01912908499726,81.0878048780488,0.0040999999999999995,22.2843899686215,21.6666666666667,73.6700232147494,16.2999992370605,1.919153426823256
160,Grenada,GRD,2019,89.6,93.120964050293,52.0588235294118,0.735582700454373,72.397,0.0165,9.67741935483871,46.6666666666667,0.0,0.0,2.51774686081729
161,Grenada,GRD,2020,89.1,93.5864486694336,52.0588235294118,-13.7077306813298,72.426,0.016399999999999998,9.79266461079068,46.6666666666667,0.0,0.0,2.519746946724533
162,Guatemala,GTM,2019,48.6,95.7420043945313,33.0291153415453,3.866856574905,74.302,0.0245,4.92898433077731,19.375,46.9761774134312,2.19000005722046,2.190180699826183
163,Guatemala,GTM,2020,50.1,97.0552673339844,32.9208659947742,-1.51932802919289,74.529,0.023600000000000003,5.04203941510534,19.375,46.0312394379751,3.55299997329712,2.19678192319987
164,Guinea,GIN,2019,1.6,42.2000007629395,25.3499918606544,5.64617556842045,61.602,0.098,2.94190559010452,22.8070175438596,101.656316806876,5.01999998092651,1.715792763718978
165,Guinea,GIN,2020,1.9,44.6686782836914,25.1872049487221,6.98855997080146,61.962,0.09559999999999999,2.95231898464874,16.6666666666667,99.2910906802829,6.10300016403198,1.7279165592204542
166,Guinea-Bissau,GNB,2019,1.0,30.9615573883057,70.7130156472262,4.49999999151316,58.322,0.07959999999999999,2.86326045513561,13.7254901960784,82.1775394888543,6.03599977493286,1.8344932836931145
167,Guinea-Bissau,GNB,2020,1.1,33.3354682922363,70.4128733997155,-2.39999999921721,58.634,0.0768,2.88577089137658,13.7254901960784,81.3884811480594,6.73699998855591,1.8450093363911313
168,Guyana,GUY,2019,79.5,91.9157562255859,93.5968503937008,5.35262742597216,69.906,0.0293,6.71158430488805,31.8840579710145,64.3231137793684,13.9919996261597,0.5995015277327035
169,Guyana,GUY,2020,80.6,92.5405426025391,93.5501143002286,43.4795559399402,70.023,0.028399999999999998,6.99953722067962,35.7142857142857,62.31688311875,16.4309997558594,0.601595885599618
170,Haiti,HTI,2019,4.4,45.990234375,12.7144412191582,-1.68459508133022,64.001,0.062200000000000005,5.0636695460752,2.54237288135593,89.475797767869,13.914999961853,2.6113779170593325
171,Haiti,HTI,2020,4.5,46.9255332946777,12.6015965166909,-3.34337261175989,64.315,0.0605,5.17466828408577,0.0,87.4633032625151,15.451000213623,2.6167221245681715
172,Heavily indebted poor countries (HIPC),HPC,2019,13.2984393469688,44.9861028194082,27.3315505696261,4.41894762256578,63.4864553256302,0.0663584906627618,3.04853917246923,24.1226121723678,82.8705641935297,4.70612426696845,1.6171708835364365
173,Heavily indebted poor countries (HIPC),HPC,2020,13.594740304561,46.5424069463776,27.1602205959851,0.381128607680509,63.8096279614673,0.0641262855579407,3.07010468328667,25.2358125869801,81.9484420894156,5.43276061284761,1.6288077318225995
174,High income,HIC,2019,100.0,99.9997084339006,29.2516308042545,1.76367519614162,80.9780531227223,0.005,18.2954178106575,29.3192163071443,79.1209301297822,4.78632969924968,1.5396927919989654
175,High income,HIC,2020,100.0,99.9999805315511,29.2605824926872,-4.48778987331492,80.3072393310149,0.004900000000000001,18.6418211304537,30.3258393582252,79.268677045755,6.48877321203701,1.5418298574424254
176,Honduras,HND,2019,48.1,91.0999984741211,57.0221646259719,2.65306625480355,75.27,0.016800000000000002,4.82818952409457,21.09375,54.4167796494713,5.69999980926514,1.940040257716747
177,Honduras,HND,2020,48.3,93.2067108154297,56.8349271606042,-8.96476018404584,75.448,0.0162,4.97320085491529,21.09375,52.9823387527007,8.3730001449585,1.9470460180598999
178,Hungary,HUN,2019,100.0,100.0,22.5122726276572,4.55406307213036,76.3195121951219,0.0040999999999999995,19.6944576067002,12.5628140703518,73.3738411503334,3.42000007629395,2.0296648158707304
179,Hungary,HUN,2020,100.0,100.0,22.4962743808898,-4.67568699324362,75.6170731707317,0.004,20.1631079450426,12.0603015075377,73.1859872923557,4.25,2.0287307881217247
180,IBRD only,IBD,2019,77.1036765940353,98.317338005068,33.9421265293613,3.97938040304091,73.6155442434613,0.02197230431939,8.7969893663517,23.5428370786517,64.367035521666,5.66386859639335,1.8319177618420623
181,IBRD only,IBD,2020,78.9798867518643,98.7784123253362,33.9250508021843,-1.50103699516393,73.7015856204204,0.0210849396184306,9.09108518421445,24.2715038033938,63.4608065544764,6.87880397493981,1.8351495750241082
182,IDA & IBRD total,IBT,2019,63.2421654216499,88.4214882952889,31.8155659027376,3.97962213172968,71.2810998904137,0.0408305581764997,7.45300253575211,22.5355557885173,65.8611895769655,5.49053260362945,1.830164381055668
183,IDA & IBRD total,IBT,2020,64.711140748906,89.0214374746164,31.7630713187209,-1.40239984775179,71.3880844315818,0.0396722848598454,7.66398242259433,23.5006380263718,64.9931459519902,6.60752095620299,1.8350805625614703
184,IDA blend,IDB,2019,32.2926548265912,66.9988649272964,29.8289917379876,2.33867122136657,62.4089972219881,0.0839300109864685,3.46532891013883,18.9189189189189,62.7980055904973,5.71355089896555,2.107482840103272
185,IDA blend,IDB,2020,33.7498470302148,67.8680694575568,29.7551365313232,-1.32075992825219,62.6349500666142,0.0816917727072819,3.49350863136116,21.0694698354662,62.2579255319407,6.59390190586146,2.1171097304954922
186,IDA only,IDX,2019,18.7810525825721,56.2071437164948,24.903322428794,5.53019581662441,65.6143077206477,0.060851698717928795,3.61719592172588,21.5386261502247,74.6142578744386,4.53343685501964,1.7310063096079797
187,IDA only,IDX,2020,19.4124009286419,57.8593075730236,24.7332058963004,1.00954486354546,65.9016315611475,0.0589344683075434,3.65132562625924,22.6214461607343,73.5902565046724,5.30626647034342,1.7408119607192174
188,IDA total,IDA,2019,23.327592083419,59.8345781257574,25.767553584867,3.98277181360586,64.5369488281983,0.06873357059602099,3.5660961397584,21.042588255703,70.9988604109722,4.89451422697806,1.8251386564347336
189,IDA total,IDA,2020,24.2354004933963,61.2261731828994,25.6143265412295,-0.110195190133211,64.8039437358971,0.0666906533104747,3.59823948993323,22.3161301924114,70.1089047638598,5.70183485567907,1.8348842286967306
190,Iceland,ISL,2019,100.0,100.0,0.502727362888029,2.43482300037417,83.1634146341463,0.002,15.192121074474,38.0952380952381,89.4512896965601,3.50999999046326,0.553391391358432
191,Iceland,ISL,2020,100.0,100.0,0.5092730338193,-6.50391225040894,83.0658536585366,0.0019,15.6220054330785,38.0952380952381,88.9540915054631,5.48000001907349,0.5604403653841799
192,India,IND,2019,63.9,97.3082656860352,24.1806275414622,4.0415541865323,69.656,0.0344,6.3779241556898,14.3911439114391,28.9152844020892,5.26999998092651,2.6623608334168027
193,India,IND,2020,67.9,99.0,24.270228273336,-7.25175478178826,69.887,0.032600000000000004,6.57388867644794,14.3646408839779,26.7935082402427,7.99700021743774,2.666657802954208
194,Indonesia,IDN,2019,81.85,98.8499984741211,49.3942964092507,5.01815971508286,71.716,0.0238,6.05030268241321,17.3913043478261,65.3889966053136,3.61999988555908,2.1587844829638914
195,Indonesia,IDN,2020,84.5,96.9499969482422,49.0717803654717,-2.06954349906437,71.908,0.023,6.26251338481323,20.3478260869565,65.2362179887967,4.28000020980835,2.163410496521952
196,"Iran, Islamic Rep.",IRN,2019,96.4,100.0,6.59610378447408,-6.78422367041092,76.677,0.0134,6.35852205539563,5.88235294117647,24.1222054446192,10.7399997711182,1.7067702116185077
197,"Iran, Islamic Rep.",IRN,2020,96.1,100.0,6.60126108205015,3.38826166523735,76.87,0.0129,6.56435458647845,5.59440559440559,20.3968797308313,12.168999671936,1.7123857551879964
198,Iraq,IRQ,2019,98.9,99.9920043945313,1.90036118379833,5.95732750325479,70.604,0.0261,3.39853313359679,25.2279635258359,15.6177256339543,12.8629999160767,1.9568829152190594
199,Iraq,IRQ,2020,99.0,100.0,1.90036118379833,-15.6730927866074,70.748,0.0252,3.44273041454691,26.4437689969605,15.4682692802977,14.0880002975464,1.9668512952670274
